# Playlist Version: v20260905031111
# Generated At: 2026-09-05 03:11:11

央视频道,#genre
CCTV-1综合,rtsp://183.59.56.116:554/PLTV/88888905/224/3221227610/10000100000000060000000004462931_0.smil?0&accountinfo=%7E%7EV2.0%7EjrJOUmzk157kD2TdQGpdFA%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-1综合,rtsp://183.59.56.116:554/PLTV/88888888/224/3221229774/10000100000000060000000008842383_0.smil?0&accountinfo=%7E%7EV2.0%7EGUoe1ahxCx0poylztUdZdg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-1综合,rtsp://183.59.56.116:554/PLTV/88888905/224/3221227270/10000100000000060000000001141346_0.smil?0&accountinfo=%7E%7EV2.0%7EUwOl-Gl8Z1MFFJlY1q_RCg%7EzJeEdQQK6GK7r2Q5jZjxjKYhZiHklGs8wg1XyXUSKdk5d8f2s2AYjzO2-qcyDeaExan3Pra4cuU_Whoju6BKGf666OGX7-GKwJrfpZjwyfM~ExtInfoWNHSPSTb+3AG0FnUkYLPMw=-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-1综合,rtsp://27.148.240.138/PLTV/88888888/224/3221227004/10000100000000060000000001740930_0.smil?zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7ES-s3JQl0FGKURLYq0D4Lmw%7ERH_bzdopoyPxlRU4atqrACUj7Kb_s8IKRSC5hfWjBp2C0uPjYkVP86x1wrwHEXJubPWheWUZdAXNCtpsgGp_qx6-jqXXjPXiFE6TsQt7xeo%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20191104122119%2C830459%2C27.158.100.159%2C20191104122119%2C10000100000000050000000001769280%2C83045920191104122118%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRXACHnbCmJiYeQC9mjrqJBQ2NzDx7YXJre33f-k_etB4OshhImIB38rKlGkgagejbLOgW1Xe05wnouCpEFywenGOBEZuYlRN_QP9usxehf7TapRNeHJH8J088eDaOF89rZhhvf5OdnlaiCzPiny_ZeNyrSF0M2EvCKXtHXhsztZEQT6BAjIHugODCnr8l4_exTdzkx8Wvi801QAAAA.
CCTV-1综合,rtsp://27.148.240.138/PLTV/88888888/224/3221225691/10000100000000060000000000417455_0.smil?zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7EIe8FRifBlca3rAfVl_IeTA%7ERH_bzdopoyPxlRU4atqrACUj7Kb_s8IKRSC5hfWjBp2C0uPjYkVP86x1wrwHEXJubPWheWUZdAXNCtpsgGp_qx6-jqXXjPXiFE6TsQt7xeo%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20191104122119%2C830459%2C27.158.100.159%2C20191104122119%2CUmai%3ACHAN%2F11346%40BESTV.SMG.SMG%2C83045920191104122118%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRXACHnbCmJiYeQC9mjrqJBQ2NzDx7YXJre33f-k_etB4OshhImIB38rKlGkgagejbLOgW1Xe05wnouCpEFywenGOBEZuYlRN_QP9usxehf7TapRNeHJH8J088eDaOF89rZhhvf5OdnlaiCzPiny_ZeNyrSF0M2EvCKXtHXhsztZEQT6BAjIHugODCnr8l4_exTdzkx8Wvi801QAAAA.
CCTV-1综合,rtsp://27.148.240.185/PLTV/88888888/224/3221227241/72237896.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E-URhBZerC1gKSoaA5zOz0Q%7Eu8K4JFG5Muye1JobvDOKD2_SlRiggcrbZAYtQDVhRA7A5W1F9N_PtmLmgeeDKUAXB6ahmTPDFplwA4el2dEl-O3ZOjtUWLmw1C_8zBHpI9k%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230123125531%2C10500000645758%2C110.88.24.204%2C20230123125531%2Curn%3AHuawei%3AliveTV%3AXTV72237895%2C1000100070131520230123125531%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2&it=H4sIAAAAAAAAAC2OwQ6CMAyG32bHRZYJeNgJY2Ji8AB6NXUrSChsbmDi2wuTW9vv_9J_8qDxfFTjTMQCvkurBNNA1I1tac2K7lXxEBlPZM6FlHzP6tU5EbRqF6PlPDzRb8viVeg_nUZlQsMdwXf2xIPr4nzztGGG9fY7STMpUymSNMkPbFqvNYR-IewFobCDA4_mYtsoqAYoIHOge2ixhAH_5aN39WZp8gOe0tSm1QAAAA
CCTV-1综合,rtsp://27.148.240.181/PLTV/88888888/224/3221227241/72237896.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&accountinfo=%7E%7EV2.0%7E-URhBZerC1gKSoaA5zOz0Q%7EsDx4GJd5Sr5pYevmmuSb7lMNRcJZ8QqTk0LBOVj9HXJh8P2i1kD4jcBarRb5k9Ns0ihfdocarYCdnvZkFLewLSW1aXqQA1I4x5-WRR-bsJk%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20230115200419%2C10500000044552%2C27.156.164.235%2C20230115200419%2Curn%3AHuawei%3AliveTV%3AXTV72237895%2C1000100009996820230115200419%2C-1%2C0%2C1%2C%2C%2C2%2C%2C%2C%2C2%2CEND&GuardEncType=2
CCTV-1综合,rtsp://27.148.240.189/PLTV/88888888/224/3221227004/10000100000000060000000001740930_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7ES-s3JQl0FGKURLYq0D4Lmw%7EZ9Au0jY7Pmld3bqXAQyRpUvf_IaRWzeFU6w3cyAXVc_5QYcqUFBRkMHr3-3BxIH9p-r43-wIQL4cIsKB-VRogXn8puBcfj7DijJSF-r-neU%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210607220850%2C10500000308987%2C120.43.104.205%2C20210607220850%2C10000100000000050000000001769280%2C1000100036445520210607220850%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-1综合,rtsp://27.148.240.189/PLTV/88888888/224/3221226280/10000100000000060000000001158525_0.smil?rrsip=27.148.240.138&zoneoffset=480&icpid=bestv&accounttype=1&limitflux=-1&limitdur=-1&tenantId=8601&GuardEncType=2&accountinfo=%7E%7EV2.0%7EDpAMcwSplNopC9npK74QGQ%7EZ9Au0jY7Pmld3bqXAQyRpUvf_IaRWzeFU6w3cyAXVc_5QYcqUFBRkMHr3-3BxIH9p-r43-wIQL4cIsKB-VRogXn8puBcfj7DijJSF-r-neU%7EExtInfoWNHSPSTb%2B3AG0FnUkYLPMw%3D%3D%3A20210607220850%2C10500000308987%2C120.43.104.205%2C20210607220850%2CUmai%3ACHAN%2F3745025%40BESTV.STA.SMG%2C1000100036445520210607220850%2C-1%2C0%2C1%2C%2C%2C7%2C%2C%2C%2C4%2CEND
CCTV-1综合,http://14.145.143.181:14022/rtp/239.77.0.14:5146
