# Playlist Version: v20260905031123
# Generated At: 2026-09-05 03:11:23

轮播频道,#genre
邵氏影院,https://live.metshop.top/douyu/4246519
邵氏影院,http://www.goodiptv.club/douyu/4246519
邵氏影院,https://goodiptv.club/douyu/4246519
邵氏影院,http://cfss.cc/cdn/dy/4246519.flv
读心神探,http://nn.7x9d.cn/xz/yy.php?id=1382736875
读心神探,https://live.metshop.top/yy/1382736875
读心神探,https://www.goodiptv.club/yy/1382736875
读心神探,https://live.ottiptv.cc/yy/1382736875
读心神探,http://cfss.cc/cdn/yy/1382736875.flv
知否知否应是绿肥红瘦,http://nn.7x9d.cn/xz/yy.php?id=21881901
知否知否应是绿肥红瘦,https://live.metshop.top/yy/1354936134
知否知否应是绿肥红瘦,https://live.metshop.top/yy/21881901
知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/1354936134
知否知否应是绿肥红瘦,https://www.goodiptv.club/yy/21881901
知否知否应是绿肥红瘦,https://www.goodiptv.club/yy/1354936134
知否知否应是绿肥红瘦,http://nn.7x9d.cn/xz/yy.php?id=1354936134
知否知否应是绿肥红瘦,https://live.ottiptv.cc/yy/21881901
知否知否应是绿肥红瘦,http://cfss.cc/cdn/yy/21881901.flv
知否知否应是绿肥红瘦,http://cfss.cc/cdn/yy/1354936134.flv
情满四合院,http://nn.7x9d.cn/xz/yy.php?id=1382851601
情满四合院,http://nn.7x9d.cn/xz/yy.php?id=1382851524
情满四合院,http://cfss.cc/cdn/yy/1382851601.flv
情满四合院,https://live.ottiptv.cc/yy/1382851601
情满四合院,https://www.goodiptv.club/yy/1382851601
情满四合院,https://live.metshop.top/yy/1382851601
情满四合院,https://live.metshop.top/yy/1382851524
情满四合院,https://live.ottiptv.cc/yy/1382851524
情满四合院,https://www.goodiptv.club/yy/1382851524
情满四合院,https://www.goodiptv.club/yy/1382736848
新白娘子传奇,http://nn.7x9d.cn/xz/yy.php?id=1354930969
新白娘子传奇,http://nn.7x9d.cn/xz/yy.php?id=1354490667
新白娘子传奇,https://live.ottiptv.cc/yy/1354930969
新白娘子传奇,https://live.metshop.top/yy/1354490667
新白娘子传奇,https://live.ottiptv.cc/yy/1354490667
新白娘子传奇,https://www.goodiptv.club/yy/1354490667
新白娘子传奇,https://www.goodiptv.club/yy/1354930969
新白娘子传奇,https://live.metshop.top/yy/1354930969
新白娘子传奇,http://cfss.cc/cdn/yy/1354490667.flv
新白娘子传奇,http://cfss.cc/cdn/yy/1354930969.flv
寻秦记,http://nn.7x9d.cn/xz/yy.php?id=1382749900
寻秦记,https://live.metshop.top/yy/1382749900
寻秦记,https://live.ottiptv.cc/yy/1382749900
寻秦记,https://www.goodiptv.club/yy/1382749900
寻秦记,https://www.goodiptv.club/yy/1354658048
寻秦记,http://cfss.cc/cdn/yy/1382749900.flv
寻秦记,http://cfss.cc/cdn/yy/1354658048.flv
寻秦记,https://live.ottiptv.cc/yy/1354658048
寻秦记,https://live.metshop.top/yy/1354658048
寻秦记,http://nn.7x9d.cn/xz/yy.php?id=1354658048
父母爱情,http://nn.7x9d.cn/xz/yy.php?id=1354926650
父母爱情,http://nn.7x9d.cn/xz/yy.php?id=1382851594
父母爱情,http://nn.7x9d.cn/xz/yy.php?id=1382746276
